MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MVM_PRSCRPTN_CN,SEXDSTN_FLAG_CD
"4","광주","어르신","출장","80","관리자","참가","20250203","준비운동:몸통 비틀기,고관절 스트레칭,엉덩이 스트레칭,목 스트레칭 / 본운동:고정식 자전거 타기,스텝박스 오르내리기 ,앉아서 다리 밀기 ,몸통 들어올리기 / 정리운동:가슴 스트레칭,등/어깨 뒤쪽 스트레칭,옆구리 스트레칭,몸 앞으로 굽히기","F"
"4","스포원(금정)","성인","일반","19","관리자","참가","20250203","준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸 말아 올리기,앉았다 일어서기,엎드려 버티기 / 정리운동:전신 루틴 스트레칭","M"
"1","광주","어르신","출장","78","관리자","참가","20250203","준비운동:고정식 트레드밀에서 걷기,물속에서 걷기,몸 앞으로 굽히기,내전근 스트레칭,엉덩이 스트레칭,등 대고 대퇴이두근 스트레칭 / 본운동:균형 걷기,좌우로 선넘기,앞뒤로 선넘기,베개 밟고 서기,베개 밟고 두발 모아 서기 / 정리운동:고관절 스트레칭,대퇴이두근 스트레칭,정적 스트레칭  루틴프로그램","F"
"1","천안","성인","일반","19","관리자","참가","20250203","준비운동:전신 루틴 스트레칭,달리기 / 본운동:엎드려 버티기,달리기,앉았다 일어서면서 점프하기,무릎 높여 제자리 달리기 / 정리운동:하지 루틴 스트레칭2,상지 루틴 스트레칭","M"
"1","부천","성인","일반","19","관리자","참가","20250203","준비운동:달리기,줄넘기,계단 뛰어 오르기 / 본운동:서서 뒤꿈치 들기,누워서 배가로근 수축 I,매달려서 다리 들기 / 정리운동:하지 루틴 스트레칭1,상지 루틴 스트레칭,전신 루틴 스트레칭","M"
"1","남구(울산)","어르신","일반","65","관리자","3등급","20250203","준비운동:넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭,하지 루틴 스트레칭1,하지 루틴 스트레칭2 / 본운동:바벨 당겨 올리기,앉아서 가슴 모으기,앉아서 팔꿈치 굽히기,고정식 트레드밀에서 걷기,고정식 자전거 타기 / 정리운동:대퇴이두근 스트레칭,엉덩이 스트레칭,대퇴사두근 스트레칭","M"
"1","남구(울산)","어르신","일반","69","관리자","3등급","20250203","준비운동:고정식 자전거 타기,스텝박스 / 본운동:덤벨 잡고 앉았다 일어서기,앉아서 다리 펴기,앉아서 다리 밀기 ,덤벨 잡고 뒤꿈치 들기 / 정리운동:앉아서 뒤로 당기기,덤벨 잡고 몸통 옆으로 굽히기,몸 앞으로 굽히기,내전근 스트레칭,엉덩이 스트레칭,대퇴사두근 스트레칭","M"
"6","광주","어르신","출장","73","관리자","참가","20250203","준비운동:어깨 스트레칭,고관절 스트레칭,목 스트레칭,등 대고 대퇴이두근 스트레칭,고정식 자전거 타기,스텝박스 오르내리기 ,발바닥 치기,머리 위로 공 넘기기 / 본운동:고정식 자전거 타기,앉아서 다리 밀기 ,탄력밴드 무릎으로 당기기,균형 걷기 / 정리운동:전신 루틴 스트레칭","F"
"3","광주","어르신","출장","75","관리자","2등급","20250203","준비운동:스텝박스,스텝박스 오르내리기 ,아쿠아로빅-엉덩관절 회전하기,의자 이용 중심 잡기 루틴 운동,베개 밟고 서기 / 본운동:실내 자전거타기,의자 잡고 후방으로 한발 뻗어 들기,의자잡고 후방으로 무릎 굽혀 들기,의자 잡고 전방으로 무릎 굽혀 들기,한발 들기 / 정리운동:어깨 스트레칭,마주 앉아 대퇴이두근 스트레칭,마주 앉아 대퇴이두근 스트레칭2,고관절 스트레칭","F"
"1","포항","성인","일반","20","관리자","참가","20250203","준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:매달려서 다리 들기,누워서 팔 다리 동시에 들어올리기,누워서 수직으로 다리 들어올리기  / 정리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,전신 루틴 스트레칭","M"
"3","광주","어르신","출장","81","관리자","3등급","20250203","준비운동:몸통 비틀기,고관절 스트레칭,대퇴이두근 스트레칭,대퇴사두근 스트레칭 / 본운동:물통으로 양팔 들어올리기,밴드 머리 뒤로 들어올리기,플렉스 바 비틀기,의자에 앉아 볼 돌리기","F"
"2","순천","성인","일반","19","관리자","참가","20250203","준비운동:트레드밀에서 걷기 / 본운동:엎드려 버티기,넙다리 뒤쪽 스트레칭 / 정리운동:실내 자전거타기","M"
"2","전주","성인","일반","58","관리자","3등급","20250203","준비운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,유산소 운동 전 동적 루틴 스트레칭,진자운동 / 본운동:윗몸올리기 ,엎드려 버티기,팔굽혀펴기 / 정리운동:걷기,달리기,실내 자전거타기,트레드밀에서 걷기","F"
"2","연제","성인","일반","19","관리자","참가","20250203","준비운동:등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,하지 루틴 스트레칭1 / 본운동:앉았다 일어서기,윗몸 말아 올리기,엎드려 버티기,달리기,트레드밀에서 걷기,수영 / 정리운동:유산소 운동 전 동적 루틴 스트레칭","M"
"3","광주","어르신","출장","73","관리자","참가","20250203","준비운동:하지 루틴 스트레칭1,몸통 비틀기,마주 앉아 대퇴이두근 스트레칭 / 본운동:고정식 트레드밀에서 걷기,앉아서 다리 펴기,앉아서 다리 밀기 ,덤벨 잡고 한발 내밀어 굽혔다 펴기 / 정리운동:전신 루틴 스트레칭","F"
"1","화성","어르신","일반","74","관리자","1등급","20250203","준비운동:고정식 자전거 타기,스텝박스 / 본운동:앉아서 다리 펴기,엎드려서 다리 굽히기 ,앉아서 다리 밀기  / 정리운동:고관절 스트레칭,대퇴이두근 스트레칭2,엉덩이 스트레칭2","M"
"3","서구(광주)","성인","일반","51","관리자","3등급","20250203","준비운동:전신 루틴 스트레칭 / 본운동:윗몸올리기 ,엎드려 버티기,누워서 팔 다리 동시에 들어올리기,누워서 다리 좌우로 움직이기 / 정리운동:하지 루틴 스트레칭1,상지 루틴 스트레칭","F"
"1","KSPO송파별관(어르신)","어르신","일반","65","관리자","2등급","20250203","준비운동:의자잡고 후방으로 무릎 굽혀 들기,의자 잡고 전방으로 무릎 굽혀 들기","M"
"3","광주","어르신","출장","84","관리자","2등급","20250203","준비운동:고관절 스트레칭,대퇴이두근 스트레칭,마주 앉아 대퇴이두근 스트레칭 / 본운동:아쿠아로빅 운동 프로그램 루틴,물속에서 걷기 / 정리운동:종아리 스트레칭,목 스트레칭,가슴 스트레칭","M"
"4","순천","어르신","일반","66","관리자","1등급","20250203","준비운동:고정식 트레드밀에서 걷기 / 본운동:바벨 잡고 들어올리기,바벨 당겨 올리기 / 정리운동:고정식 자전거 타기","M"
"1","동작","성인","일반","23","관리자","참가","20250203","준비운동:유산소 운동 전 동적 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭 ,작은 공을 이용한 동적 루틴 스트레칭  / 본운동:윗몸 일으키기,누워서 다리 들어올리기,누워서 팔 다리 동시에 들어올리기,계단 올라갔다 내려오기 / 정리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,전신 루틴 스트레칭","F"
"2","화성","성인","일반","63","관리자","2등급","20250203","준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭 / 본운동:걷기,달리기,실내 자전거타기,트레드밀에서 걷기 / 정리운동:허리 스트레칭,배스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭","M"
"6","KSPO송파별관(어르신)","어르신","일반","83","관리자","1등급","20250203","준비운동:베개 밟고 서기 / 본운동:벽에서 팔굽혀 펴기,고정식 트레드밀에서 걷기,의자에 앉아 다리 뻗어 올리기,앉아서 엉덩관절 굽히기,서서 뒤꿈치 들기 / 정리운동:전신 루틴 스트레칭","M"
"3","광주","어르신","출장","73","관리자","참가","20250203","준비운동:아쿠아로빅,아쿠아로빅-물당기기/밀기,아쿠아로빅-발 닿기,고정식 자전거 타기 / 본운동:덤벨 잡고 한발 내밀어 굽혔다 펴기,서서 다리 모으고 벌리기,앉아서 뒤로 당기기,덤벨 잡고 몸통 옆으로 굽히기 / 정리운동:마주 앉아 대퇴이두근 스트레칭,고관절 스트레칭,대퇴이두근 스트레칭,대퇴이두근 스트레칭2","F"
"1","성남","성인","일반","59","관리자","참가","20250203","준비운동:전신 루틴 스트레칭 / 본운동:걷기,계단 올라갔다 내려오기,의자 앞에서 앉았다 일어서기 / 정리운동:전신 루틴 스트레칭","F"
"1","부천","성인","일반","60","관리자","참가","20250203","준비운동:달리기,실외 자전거타기,실내 자전거타기 / 본운동:서서 다리 뒤로 차기,서서 다리로 탄력밴드 당기기 I,누워서 배가로근 수축 I / 정리운동:하지 루틴 스트레칭1,상지 루틴 스트레칭,전신 루틴 스트레칭","M"
"4","광주","어르신","출장","80","관리자","2등급","20250203","준비운동:흔들어 체조,마주 앉아 대퇴이두근 스트레칭,고관절 스트레칭,엉덩이 스트레칭 / 본운동:빌리보를 밀어요,지그재그 달려요,점핑점핑해요 / 정리운동:거북이 스트레칭,후굴자세 해봐요","F"
"4","광주","어르신","출장","74","관리자","참가","20250203","준비운동:몸통 비틀기,등 대고 대퇴이두근 스트레칭,마주 앉아 대퇴이두근 스트레칭,마주 앉아 대퇴이두근 스트레칭2 / 본운동:짐볼 이용해 앉았다 일어서기,벽에서 팔굽혀 펴기,고정식 자전거 타기,물속에서 걷기,수영","F"
"1","순천","성인","일반","23","관리자","참가","20250203","준비운동:트레드밀에서 걷기 / 본운동:넙다리 뒤쪽 스트레칭,하지 루틴 스트레칭1 / 정리운동:실내 자전거타기","M"
"2","사상","성인","일반","19","관리자","참가","20250203","준비운동:전신 루틴 스트레칭 / 본운동:매달려서 다리 들기,버피운동,엎드려 버티기,계단 올라갔다 내려오기,앉았다 일어서기,수영 / 정리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭","M"
"5","광주","어르신","출장","73","관리자","2등급","20250203","준비운동:몸 앞으로 굽히기,내전근 스트레칭,엉덩이 스트레칭,등 대고 대퇴이두근 스트레칭 / 본운동:균형 걷기,옆으로 걷기,걷기,조깅,하지 루틴 스트레칭1,물병 옆으로 들어올리기 / 정리운동:발가락 폄근 스트레칭,비복근 스트레칭","F"
"2","광주","어르신","출장","78","관리자","참가","20250203","준비운동:고정식 트레드밀에서 걷기,물속에서 걷기,몸 앞으로 굽히기,내전근 스트레칭,엉덩이 스트레칭,등 대고 대퇴이두근 스트레칭 / 본운동:균형 걷기,좌우로 선넘기,앞뒤로 선넘기 / 정리운동:고관절 스트레칭,대퇴이두근 스트레칭,정적 스트레칭  루틴프로그램","F"
"4","광주","어르신","출장","74","관리자","3등급","20250203","준비운동:목 스트레칭,가슴 스트레칭,팔꿈치 맞닿아 원그리기,등/어깨 뒤쪽 스트레칭 / 본운동:고정식 트레드밀에서 걷기,고정식 자전거 타기,스텝박스,물속에서 걷기,짐볼 들고 양옆으로 돌리기,의자에 앉아 볼 돌리기 / 정리운동:옆구리 스트레칭,몸 앞으로 굽히기,엉덩이 스트레칭,대퇴사두근 스트레칭","F"
"1","미추홀","성인","일반","20","관리자","참가","20250203","준비운동:하지 루틴 스트레칭1,전신 루틴 스트레칭 / 본운동:매달려서 다리 들기,팔굽혀펴기,스텝퍼 오르내리기,누워서 엉덩이 들어올리기 / 정리운동:옆구리 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭","M"
"2","미추홀","성인","일반","20","관리자","참가","20250203","준비운동:허리 스트레칭,배스트레칭,옆구리 스트레칭,엉덩이 스트레칭 / 본운동:달리기,실내 자전거타기,줄넘기,수영,몸통 옆으로 굽히기,엎드려 버티기,누워서 다리 좌우로 움직이기","M"
"4","광주","어르신","출장","71","관리자","3등급","20250203","준비운동:유산소 운동 전 동적 루틴 스트레칭,등 대고 대퇴이두근 스트레칭,고관절 스트레칭,대퇴이두근 스트레칭 / 본운동:앉아서 다리 펴기,앉아서 다리 밀기 ,서서 다리 모으고 벌리기,대퇴이두근 스트레칭,엉덩이 스트레칭 / 정리운동:하지 루틴 스트레칭2,상지 루틴 스트레칭","F"
"1","광주","어르신","출장","73","관리자","1등급","20250203","준비운동:몸 앞으로 굽히기,내전근 스트레칭,엉덩이 스트레칭,등 대고 대퇴이두근 스트레칭,고정식 자전거 타기,스텝박스 / 본운동:균형 걷기,옆으로 걷기,걷기,조깅,하지 루틴 스트레칭1,물병 옆으로 들어올리기,물병 들고 한발 앞으로 내밀고 앉았다 일어서기 / 정리운동:발가락 폄근 스트레칭,비복근 스트레칭","F"
